Province,Year,Number of projects,Total registered capital (Mill. USD),Income,Poverty Rate,Number of Enterprises,Employment Rate,Trained Labour Rate,Governance Score,Quintile 1,Quintile 2,Quintile 3,Quintile 4,Quintile 5,Ratio,Index of Industrial Output,RuralPop,UrbanPop,UrbanPercent,RuralPercent
Long An,2011,406,3365900000,1289000,6.6,3236,56.7,8.5,39.84,435,717,1006,1414,2873,6.604597701,117.7,1191800,258100,0.178012277,0.821987723
Long An,2013,499,3776000000,1956000,6,3359,60.4,11.4,39.74,620,1220,1652,2197,4087,6.591935484,113.8,1204900,265000,0.180284373,0.819715627
Long An,2014,588,4231100000,2429000,5.4,3912,59.3,10.9,38.85,796,1445,1992,2672,5260,6.608040201,111.6,1211000,266300,0.180261288,0.819738713
Long An,2015,760,5406000000,2430000,5,4623,58.7,11.7,38.95,794,1441,1987,2666,5246,6.607052897,112.8,1355800,270500,0.166328476,0.833671524
Long An,2016,873,6500200000,3225000,4.8,5110,59,12.6,36.71,1078,1926,2575,3462,7118,6.60296846,113.5,1373900,271300,0.164903963,0.835096037
Long An,2017,962,6970700000,3242000,4,7831,58.8,14.6,38.3,1075,1926,2575,3462,7208,6.705116279,116.2,1390500,271800,0.163508392,0.836491608
Long An,2018,1042,7396400000,4215000,2.9,8883,58.8,16.1,36.17,1421,2359,3073,4092,10162,7.1513019,116.5,1406700,272200,0.162129966,0.837870034
Long An,2019,1170,7900800000,4544000,2.5,9694,59.1,16.7,35.54,1351,2581,3893,5228,9739,7.208734271,115.1,1422600,272500,0.160757477,0.839242523
Long An,2020,1233,8498900000,4232000,2,10476,58.9,15.9,36.8,1314,2737,3601,4743,8788,6.687975647,108,1401100,312500,0.182364613,0.817635388
Long An,2021,1253,12270700000,3725000,1.7,11088,56.3,15.1,31.43,1376,2414,3127,4244,7489,5.442587209,96.8,1409300,316500,0.183393209,0.816606791
Tiền Giang,2011,43,859200000,1313000,10,2813,57.2,10.2,37.67,432,719,1003,1430,2979,6.895833333,115.6,1417200,265400,0.157732081,0.842267919
Tiền Giang,2013,59,1295700000,1941000,8.3,2989,61.9,9.7,38.65,622,1099,1541,2152,4277,6.876205788,112.1,1452100,251300,0.147528473,0.852471528
Tiền Giang,2014,70,1439400000,2595000,7.1,2944,60.3,8.9,35.62,850,1536,2038,2770,5836,6.865882353,108.1,1451700,264400,0.154070276,0.845929724
Tiền Giang,2015,78,1532500000,2596000,6.3,2989,61.6,12.7,34.06,849,1533,2034,2760,5801,6.832744405,115.2,1486700,242000,0.139989588,0.860010412
Tiền Giang,2016,99,2069200000,3122000,5.7,3541,61.8,11.7,36.56,1033,1819,2447,3269,7055,6.829622459,114.8,1496500,243600,0.139991955,0.860008046
Tiền Giang,2017,104,2201600000,3139000,4.7,4165,61.6,10.2,35.64,1028,1819,2447,3269,7144,6.949416342,115,1506600,245300,0.140019408,0.859980593
Tiền Giang,2018,114,2192000000,3983000,3.2,4347,63.1,11.8,35.2,1183,2413,3157,4101,9090,7.683854607,112.1,1512800,246300,0.14001478,0.85998522
Tiền Giang,2019,117,2581200000,4296000,2.6,4512,62.6,11.7,35.77,1176,2885,3633,4712,9087,7.727040816,111.1,1519000,247300,0.140010191,0.859989809
Tiền Giang,2020,126,2745100000,4534000,2,4853,61,14.2,36.47,1729,2847,3634,5240,9239,5.343551186,101.6,1520600,251900,0.142115656,0.857884344
Tiền Giang,2021,128,2885000000,3932000,1.7,5060,55.3,13.8,28.86,1524,2617,3356,4372,7816,5.128608924,97.2,1525800,253600,0.142519951,0.85748005
Bến Tre,2011,23,177900000,1200000,14.1,1707,60.8,9.3,37.13,421,640,859,1208,2870,6.817102138,108.4,1131600,126100,0.100262384,0.899737616
Bến Tre,2013,37,321900000,1580000,11.9,1808,60.6,8.5,37.65,503,845,1213,1765,3551,7.059642147,111.9,1133300,127200,0.100912336,0.899087664
Bến Tre,2014,46,404700000,2161000,10.2,1792,63.6,9.4,36.57,702,1192,1683,2290,4971,7.081196581,102.7,1133000,129200,0.102360957,0.897639043
Bến Tre,2015,55,591100000,2162000,8.6,1925,62.5,12.6,36.85,702,1192,1681,2284,4954,7.056980057,108.5,1149700,126100,0.098839944,0.901160056
Bến Tre,2016,56,781400000,2442000,10.1,2094,62.6,12.2,38.37,778,1343,1993,2676,5518,7.092544987,106.5,1152500,126100,0.098623494,0.901376506
Bến Tre,2017,59,865300000,2450000,8.7,2925,62.6,12.9,39.52,770,1342,1933,2676,5569,7.232467532,108,1156200,126200,0.098409233,0.901590767
Bến Tre,2018,61,1053600000,3408000,6.7,3169,63.2,9.2,38.56,1049,1754,2487,3711,8066,7.689227836,113.8,1159700,126300,0.098211509,0.901788491
Bến Tre,2019,64,1079400000,3685000,5.6,3065,63.2,11.6,39.93,1138,1795,2787,3860,8895,7.816344464,109.6,1162700,126400,0.098052905,0.901947095
Bến Tre,2020,62,1611900000,3544000,5,3326,62.8,12.6,38.18,1090,1965,2782,3840,8065,7.399082569,104,1165700,126700,0.098034664,0.901965336
Bến Tre,2021,64,1583900000,3367000,4.6,3473,58.7,12.9,29.28,1129,1809,2685,3799,7432,6.582816652,94.8,1167400,128300,0.099019835,0.900980165
Trà Vinh,2011,30,146500000,1089000,21.1,1025,58.9,7.8,31.93,336,549,778,1199,2571,7.651785714,115.2,853400,158700,0.156802688,0.843197313
